ProductGroupCode	Description	ProductGroupLevel
1050236	Large Appliances	2
1050237	Small Appliances	2
1050239	Personal Care Products	2
1051298	Marketing Consulting Services	2
1052299	Funded Positions	2
1052302	Funded Capital	2
1052303	Funded T&E	2
1052304	Funded IT	2
1053300	Communities	2
1054301	Other Marketing Services	2
1055100	IML Services	2
1055400	IM Logistics	2
1056287	Internal Incentives	2
1056289	External Incentives	2
1057288	Cash Incentives	2
1058404	LED Replacement Lamps	2
1058405	LED Strips, Bars & Modules	2
1058406	LED Fixtures	2
1058407	LED Accessories	2
1060240	Jewelry	2
1060241	Watches	2
1090242	AIDC Mobile Terminals	2
1090243	RFID Reader/Encoder	2
1090244	AIDC Wireless Infrastructure	2
1090245	Auto ID Barcode Scanners	2
1090246	Auto ID Printers	2
1090247	POS Printers	2
1090248	POS Terminals	2
1090249	POS Peripherals	2
1090250	AIDC/POS Software	2
1090251	Warranties; Service Fees & Contracts	2
1090252	Solution Bundles	2
1090253	Wireless AIDC Accessories	2
1090254	Auto ID Accessories	2
1090255	Retail POS Accessories	2
1090256	Universal Accessories	2
1090257	Auto ID & Retail POS Supplies	2
1098001	Toys	2
1098002	Arts & Crafts	2
1098003	Musical Instruments	2
1099258	Desk Accessories	2
1099259	Auto/Marine Devices & Accessories	2
1099260	Notebook/Tablet Accessories	2
1099261	VHF Radios & Communications Accessories	2
1099262	Mobility Accessories	2
1099263	Monitor/TV Accessories	2
1099264	Storage Accessories & Components	2
1099265	Printer/Plotter Accessories	2
1099266	Projector Accessories	2
1099267	Camera Accessories	2
1099268	Scanner Accessories	2
1099269	Phone Accessories	2
1099270	Video Gaming Accessories	2
1099271	A/V & Music Accessories	2
1099272	Home Automation	2
1000027002231	Notebook Accessory Kits	3
1000027002232	Notebook Cases	3
1000027002233	Notebook Docks & Stands	3
1000027002234	Notebook Expansion Bays & Options	3
1000027002235	Notebook Power Options	3
1000027002236	Tablet PC Accessories	3
1000100001000	All-in-One PCs	3
1000100001001	Desktop PCs	3
1000100001002	Small Form Factor / Ultra Slim PCs	3
1000100001003	Tower PCs	3
1000100002133	Workstations	3
1000100002150	Barebones PC	3
1000101001004	Itanium-Based Workstation	3
1000101001005	Opteron-Based Workstation	3
1000101001006	P4-Based Workstation	3
1000101001007	RISC-Based Workstation	3
1000101001008	XEON-Based Workstation	3
1000101002060	Intel Core Based Workstations	3
1000102001009	Blade Servers	3
1000102001010	Blade Server Components	3
1000102001011	Tower Servers	3
1000102001012	Rackmount Servers	3
1000102002151	Barebones Server	3
1000103001013	Notebooks	3
1000103001014	Tablets	3
1000103002016	Netbooks	3
1000103002121	Tablets (Slate style)	3
1000103002134	Ultraportable Notebooks	3
1000103002152	Barebones Notebooks	3
1000104001015	Barebones PC	3
1000104001016	Barebones Servers	3
1000104001017	Barebones Notebooks	3
1000105001018	All in One Thin Clients	3
1000105001019	General Purpose Terminals	3
1000105001020	Terminal Components	3
1000105001021	Thin Client Terminals	3
1000105002135	Zero Clients	3
1001106001022	Line Conditioners	3
1001106001023	Power Distribution Units (PDUs) & Compon	3
1001106001024	Power Inverters	3
1001106001025	Power Strips	3
1001106001026	Surge Protectors	3
1001106001027	UPS Uninterruptible Power Supplies	3
1001106001028	UPS Batteries	3
1001106001029	UPS Cables	3
1001106001030	UPS Components	3
1001106001031	UPS Management	3
1001106001032	Voltage Regulators	3
1001106001033	Generators	3
1001107001034	Rack Enclosure Components	3
1001107001035	Rack Enclosures	3
1001107002136	Open Frame Racks	3
1001107002137	Wall Mount Racks/Enclosures	3
1002004002036	EthernetFibre Channel Disk Sys	3
1002004002037	EthernetUnifiedStorage DiskSys	3
1002004002038	Unified Storage Components	3
1002030002246	Data Transfer Kits	3
1002030002247	Drive Controller Components	3
1002030002248	Drive Enclosure Components	3
1002030002249	Drive Interface Converters	3
1002030002250	Drive Mounting Hardware	3
1002030002251	Jewel Cases/Labeling & Inserts	3
1002030002252	Media Storage Products	3
1002030002253	Optical Device Components	3
1002030002254	Portable Drive Carrying Cases	3
1002030002255	Space Management Organizers	3
1002030002256	Storage Power Options	3
1002030002257	Tape Array Components	3
1002030002258	Tape Library Components	3
1002030002259	Transit Shipping Cases	3
1002108001036	Floppy & Removable Media Drives	3
1002108001037	Magneto Optical Devices	3
1002108001038	Removable Media Drives	3
1002109001039	EIDE Hard Drives	3
1002109001040	Fibre Channel Hard Drives	3
1002109001041	Firewire Hard Drives	3
1002109001042	Multi-Interface Hard Drives	3
1002109001043	PCMCIA Hard Drives	3
1002109001044	SCSI Hard Drives	3
1002109001045	SATA Hard Drives	3
1002109001046	USB Hard Drives	3
1002109001047	SAS (Serial Attached SCSI) Hard Drives	3
1002109002132	Thunderbolt Hard Drives	3
1002110001048	Libraries	3
1002110001049	Tape Drives & Arrays	3
1002110001050	Backup Accelerators	3
1002111001051	CD/CD-R/CD-RW Drives	3
1002111001052	CD/DVD Changers	3
1002111001053	CD/DVD Duplicators	3
1002111001054	CD/DVD Jukeboxes & Towers	3
1002111001055	DVD/CD-RW Combo Drives	3
1002111001056	DVD/DVD-R/DVD-RW Drives	3
1002111001057	NAS CD/DVD Devices	3
1002111001058	Blu-Ray Drives	3
1002112001059	NAS Disk Systems	3
1002112001060	NAS Hard Drives	3
1002112001061	NAS Components	3
1002113001062	EIDE Drive Controllers	3
1002113001063	EIDE RAID Drive Controllers	3
1002113001064	Multi-Interface Drive Controllers	3
1002113001065	SCSI Drive Controllers	3
1002113001066	SCSI RAID Drive Controllers	3
1002113001067	SATA Drive Controllers	3
1002113001068	Serial ATA RAID Drive Controllers	3
1002113001069	SAS (Serial Attached SCSI) Drive Control	3
1002113001070	SAS (Serial Attached SCSI) RAID Drive Co	3
1002113002058	Multi-Interface RAID Drive Ctlrs	3
1002114001071	Drive Enclosures	3
1002114001072	RAID Enclosures	3
1002114001073	Removable Frame & Carriers	3
1002115001074	Flash Adapters	3
1002115001075	Flash Card Cases	3
1002115001076	Flash Memory Cards	3
1002115001077	Flash Reader/Card Bundles	3
1002115001078	Flash Reader/Writers	3
1002115001079	Portable Flash Drives	3
1002116001080	Fibre Host Bus Adapters (HBAs)	3
1002116001081	iSCSI Adapters	3
1002116001082	SAN GBIC/SFP	3
1002116001083	SAN Hubs	3
1002116001084	SAN Routers	3
1002116001085	SAN Switches	3
1002116001086	SAN Disk Systems	3
1002116001087	SAN Hard Drives	3
1002116001088	SAN Components	3
1002116002033	iSCSI SAN Disk Sys	3
1002116002034	Fibre Channel SAN Disk Sys	3
1002116002035	FC/Iscsi Disk Sys	3
1002401002051	SATA Solid State Drives (SSD)	3
1002401002052	IDE Solid State Drives (SSD)	3
1002401002053	USB Solid State Drives (SSD)	3
1002401002054	PCI-Express Solid State Drives (SSD)	3
1002401002097	SAS Solid State Drives (SSD)	3
1002401002122	Fiber Solid State Drives (SSD)	3
1002401002123	Expresscard Solid State Drives (SSD)	3
1002401002124	Thunderbolt Solid State Drives (SSD)	3
1002401002125	Multi-Interface Solid State Drives (SSD)	3
1003029002238	Converter Boxes	3
1003029002239	Display Accessories	3
1003029002240	LCD Display Carrying Cases	3
1003029002241	Monitor Anti-Glare Filters	3
1003029002242	Monitor Overlays	3
1003029002243	Monitor/Lifts/Arms/Stands/Mounts/Bezels	3
1003029002244	Remote Controls	3
1003029002245	TV Accessories	3
1003117001089	CRT Monitors	3
1003117001090	LCD/LED Monitors	3
1003117001091	Plasma Monitors	3
1003118001092	LCD/LED TVs	3
1003118001093	Plasma TVs	3
1003118001094	Projection TV	3
1003118001095	Televisions	3
1003119001096	Diagnostic Imaging Displays	3
1003119001097	Mobile Point of Care Displays & Systems	3
1003119001098	Patient Monitoring/Charting Displays	3
1003131002017	LCD Touch Screen Displays	3
1003131002018	CRT Touch Screen Displays	3
1003131002019	Plasma Touch Screen Displays	3
1003131002020	DLP Rear Projection Touch Screen Display	3
1003408002387	LCD/LED Displays	3
1003408002388	LCD/LED Touch Screen Displays	3
1003408002389	Plasma Displays	3
1003409002390	LCD/LED Monitors	3
1003409002391	LCD/LED Touch Screen Monitors	3
1004028002237	VHF Radios & Communications Accessories	3
1004035002303	Headset Accessories & Cables	3
1004035002304	Other Phone Accessories & Cables	3
1004035002305	Phone Amplifiers/Antennas	3
1004035002306	Phone Cases	3
1004035002307	Phone Connection Kits	3
1004035002308	Phone Faceplates	3
1004035002309	Phone Hands Free Sets	3
1004035002310	Phone Handsets	3
1004035002311	Phone Headsets	3
1004035002312	Phone Noise Suppressors	3
1004035002313	Phone Power Accessories	3
1004035002314	Phone Reference Materials	3
1004035002315	Phone Stands/Mounting	3
1004039002337	Accessory Kits	3
1004039002338	Carrying Cases	3
1004039002339	PDA Expansion Cards	3
1004039002340	Power Options	3
1004039002341	Screen Protectors	3
1004039002342	Styli	3
1004039002343	Sync Devices & Cables	3
1004039002344	GPS Accessories	3
1004039002360	Bluetooth Headsets	3
1004039002361	Bluetooth Accessories	3
1004039002362	In-Car Chargers	3
1004039002363	Speakers & Speaker Docks	3
1004039002364	Housings & Covers	3
1004039002365	Mounting Kits	3
1004039002369	Smart Watches	3
1004039002370	Smart Watch and Watch Phone Accessories	3
1004039002371	SIM Cards	3
1004039002372	Airtime (Tariffs & Plans)	3
1004039002373	Wired Headsets	3
1004039002374	Mobile Headset Accessories	3
1004039002375	Mounts & Stands	3
1004039002376	Mobility Keyboards	3
1004039002377	Car/Handsfree Kits/Speakerphones	3
1004039002378	Mobile Cables & Adapters (not power)	3
1004039002379	Dummies	3
1004039002380	Fitness	3
1004039002381	Smartphone Camera Lenses	3
1004039002382	App-enabled Accessories	3
1004120001099	Broadband (Cable/DSL) Modems	3
1004120001100	Combo Modem/NIC	3
1004120001101	Dial-Up Modems	3
1004120001102	Host Connectivity	3
1004120001103	ISDN & Sync Adapters	3
1004120001104	Leased Line Modems	3
1004120001105	Line Sharing Devices	3
1004120001106	Multi-Modem Devices	3
1004120001107	Rackmount Modems & Components	3
1004120001108	Remote Access Modems	3
1004121001109	2-Way Radios	3
1004121001110	VHF Radios	3
1004121001111	Scanners	3
1004122001112	Fax Servers	3
1004122001113	Fax Boards	3
1004122001114	Voice Boards	3
1004122001115	Voice Mail System Components	3
1004122001116	Voice Mail System Software	3
1004122001117	Voice Mail Systems	3
1004123001118	IP Phones; Software & Components	3
1004123001119	PBX/IP-PBX Systems	3
1004123001120	TDM Phone Station Sets & Components	3
1004123001121	Phone System Cards & Components	3
1004123001122	Phone System Software	3
1004124001123	CSU/DSU/SDU Components	3
1004124001124	CSU/DSU/SDU Devices	3
1004125001125	Multiplexor Components	3
1004125001126	Multiplexors	3
1004125001127	DSL Access Multiplexor	3
1004125001128	Broadband Loop Carriers	3
1004125001129	Optical Transport	3
1004126001130	Mobile Phones	3
1004126001131	Pagers	3
1004126001132	GPS / Navigation Devices	3
1004126001133	PDA	3
1004126001134	Smart Phones	3
1004126001135	WWAN AP/Gateways/Cellular Modems	3
1004126001136	Data Cards	3
1004126002366	3G/4G Routers	3
1004126002368	Watch Phones	3
1004126002383	Wearables	3
1004127001137	Cordless Phones & Components	3
1004127001138	Caller ID	3
1004127001139	Other Devices & Systems	3
1004128001140	Audio Conferencing Components	3
1004128001141	Audio Conferencing Units	3
1004128001142	MultiPoint Video Conference Systems & Ga	3
1004128001143	Video Conference System Components	3
1004128001144	Video Conference Systems	3
1004128001145	Video Conferencing Cameras	3
1004128001146	Video Conferencing Carts	3
1004128001147	Video Conferencing Software	3
1004128002032	Web Conferencing Equipment	3
1004403002098	IP Phones	3
1004403002099	Desktop IP Phones	3
1004403002100	Conference IP Phones	3
1004403002101	Software-based IP Phones	3
1004403002102	Consumer IP Phones	3
1004403002103	Voice Gateways	3
1004403002104	Video Gateways	3
1004403002105	VOIP Routers (only for routers that do V	3
1004403002106	VOIP Wireless Headsets	3
1004403002107	VOIP Wired Headsets	3
1004403002138	VOIP Components	3
1005129001148	ATM Network Cards	3
1005129001149	Boot ROMs & Brackets	3
1005129001150	Ethernet NICs	3
1005129001151	Fast Ethernet NICs	3
1005129001152	FDDI Cards	3
1005129001153	Gigabit Ethernet NICs	3
1005129001154	Phone/Power Line NICS	3
1005129001155	Token Ring NICs	3
1005130001156	Antennas & Amplifiers	3
1005130001157	Wireless Access Points (AP)	3
1005130001158	Wireless Bridges	3
1005130001159	Wireless Cabling & Components	3
1005130001160	Wireless NICs	3
1005130001161	Wireless Routers & Gateways	3
1005130001162	Wireless Starter Kits	3
1005130001163	Wireless Switches	3
1005140001164	Chassis-Based Switches	3
1005140001165	Repeaters	3
1005140001166	Stackable Hubs	3
1005140001167	Stackable Switches	3
1005140001168	Standalone Hubs	3
1005140001169	Standalone Switches	3
1005140001170	Switch & Hub Components	3
1005150001171	Content Delivery Equipment	3
1005150001172	Content Delivery Software/Component	3
1005150001173	Content Switching & Load Balancers	3
1005150001174	Media Streaming Devices & Components	3
1005160001175	Media Converters & Components	3
1005160001176	Transceivers	3
1005161001177	Configurable Interface Routers	3
1005161001178	Fixed Interface Routers	3
1005161001179	Router Components	3
1005162001180	Device Servers & Components	3
1005162001181	Remote Access (RAS) Servers	3
1005162001182	Terminal/Console Servers & Cpnts	3
1005163001183	Cable Testers	3
1005163001184	Network Analysis Devices	3
1005163001185	Test Equipment Components	3
1006164001186	Authentication Devices & Components	3
1006164001187	Content Management Devices & Cpnts	3
1006164001188	Firewall Devices	3
1006164001189	IDS/IDP Devices & Components	3
1006164001190	Security Appliances	3
1006164001191	VPN Devices	3
1006164001192	Anti-Virus/Anti-SPAM Device	3
1006164001193	Network Security Accs & Components	3
1006165001194	Anti-Theft Devices & Software	3
1006165001195	Biometric Security Devices & Components	3
1006165001196	Security Digital Video Recorders/ Compon	3
1006165001197	Environmental Monitors & Components	3
1006165001198	Network Video Components	3
1006165001199	Network/Security Cameras & Components	3
1006165001200	Video Servers & Components	3
1006165001201	Observation/Security Bundles	3
1006165001202	Physical Security Options & Accs.	3
1007009002164	Dot Matrix Printers	3
1007009002165	Line Printers	3
1007010002166	Inkjet Printers	3
1007010002167	Solid Ink Printers	3
1007010002168	Inkjet-Baseds MFPs	3
1007011002157	Business/ID Card Printers	3
1007011002158	CD/DVD Printers	3
1007011002159	Label Printers - Home/Office	3
1007011002160	Photo Printers - Standalone	3
1007011002384	3D Printers	3
1007023002207	Barcode Label Printers	3
1007023002208	Mobile Label Printers	3
1007023002209	RFID Printers	3
1007023002210	ID Card Printers	3
1007024002211	Thermal Receipt Printers	3
1007024002212	Impact Receipt Printers	3
1007024002213	Inkjet Receipt Printers	3
1007024002214	Hybrid Printers	3
1007024002215	Mobile POS Printers	3
1007031002260	Plotter Spindles & Roll Feeders	3
1007031002261	Print Servers & Interface Cards	3
1007031002262	Printer Carrying Cases & Covers	3
1007031002263	Printer Duplex Units	3
1007031002264	Printer Hard Drives	3
1007031002265	Printer Management Software	3
1007031002266	Printer Memory	3
1007031002267	Printer Multifunction/Fax Options	3
1007031002268	Printer Power Options	3
1007031002269	Printer Sharing/Extender Devices	3
1007031002270	Printer Trays/Drawers/Env Feeders	3
1007031002271	Printer Upgrades	3
1007031002272	Printer User Manuals	3
1007031002273	Printer/Plotter Emulation/Font Upgr	3
1007031002274	Printer/Plotter Furniture	3
1007031002275	Printer/Plotter Output Options	3
1007031002276	Push/Pull Tractors	3
1007166001203	Mono Laser/LED Printers	3
1007166001204	Business/ID Card Printers	3
1007166001205	CD/DVD Printers	3
1007166001206	Color Laser Printers	3
1007166001207	Dot Matrix Printers	3
1007166001208	Inkjet Printers	3
1007166001209	Label Printers- Home/Office	3
1007166001210	Line Printers	3
1007166001211	Photo Printers- Standalone	3
1007166001212	Solid Ink Printers	3
1007166002161	Color Laser Printers	3
1007166002162	Mono Laser-Based MFPs	3
1007166002163	Color Laser Based MFPs	3
1007167001213	Color Large Format Printers/Plotters	3
1007168001214	Inkjet-Based Multifunction Printer	3
1007168001215	Laser-Based Multifunction Printer	3
1007168002115	Color Laser-Based MFPs	3
1007169001216	Copy Machines	3
1007169001217	Fax Machines	3
1007169001218	Laminators	3
1007169001219	Office Furniture	3
1007169001220	Paper & CD/DVD Shredders	3
1007169001221	Typewriters	3
1007169001222	Cash Registers	3
1007169001223	Office Electronics	3
1008015002176	DLP Projectors	3
1008015002177	LCD Projectors	3
1008015002178	Overhead Projectors	3
1008015002179	LCoS Projectors	3
1008015002393	LED Projectors	3
1008016002144	Motorized Projection Screens	3
1008016002180	Portable Projection Screens	3
1008016002181	Pull Down Projection Screens	3
1008018002186	Pro/Entertainment Speakers & Subwoofers	3
1008018002187	PA/Portable Sound Systems	3
1008018002188	Pro/Entertainment Microphones	3
1008018002189	Pro/Entertainment CD/Cassette Players	3
1008018002190	DJ Equipment	3
1008018002191	Pro/Entertainment Amps/Mixers/Equalizers	3
1008018002892	Professional/Entertainment Accessories	3
1008021002200	Whiteboards	3
1008021002201	Interactive Presentation Devices	3
1008021002385	Document Cameras	3
1008026002225	Auto/Marine Amps/Crossovers/Equalizers	3
1008026002226	Auto/Marine Receivers	3
1008026002227	Auto/Marine Speakers & Subwoofers	3
1008026002228	Vehicle Protection & Convenience Devices	3
1008026002229	Auto/Marine Accessories	3
1008026002230	Vehicle Monitors	3
1008032002277	Projector Screen Accessories	3
1008032002278	Document Cameras	3
1008032002279	Projector Cables	3
1008032002280	Projector Cases & Carts	3
1008032002281	Projector Lens	3
1008032002282	Projector Mounting	3
1008032002283	Projector Network Adapters & Software	3
1008032002284	Remote Controls/Pointers	3
1008032002285	Replacement Lamps & Filters	3
1008037002320	A/V Adapters	3
1008037002321	Digital A/V Device Accessories	3
1008037002322	PC Headset/Microphone Combo	3
1008037002323	PC Headsets/Headphones	3
1008037002324	PC Microphones	3
1008037002325	Speakers/Subwoofers & Accessories	3
1008037002326	Attachable Display Speakers	3
1008037002327	A/V Remote Controls	3
1008037002328	A/V Care & Cleaning Supplies	3
1008037002329	Home Stereo/Theater Accessories	3
1008037002330	Home Theater Furniture	3
1008037002331	iPod/MP3 Player Docks	3
1008037002367	eBook Reader Accessories	3
1008170001224	Blu-ray & DVD Players	3
1008170001225	Home Theater Systems	3
1008170001226	AV Receivers & Amplifiers	3
1008170001227	A/V Amps; Modulators; Filters & Splitter	3
1008170001228	AV Equalizers & Mixers	3
1008170001229	Audio Mixers	3
1008170001230	A/V Home Theater Distribution & Switchin	3
1008170002140	CD Players/Turntables/Cassette Players	3
1008170002141	AV Distribution & Switching	3
1008170002175	Radios/CD Players	3
1008171001231	MP3 Players	3
1008171001232	Digtial Photo Frames	3
1008171001233	Digital Video Players & Recorders	3
1008171001234	Voice Recorders	3
1008171001235	Portable Multimedia Players	3
1008171002092	eBook Readers	3
1008171002120	Radios/CD Players	3
1008171002142	Portable DVD Players	3
1008172001236	Digital & Acoustic Drums	3
1008172001237	Music Keyboards	3
1008172001238	Karaoke Devices	3
1008172001239	Electric; Bass & Acoustic Guitars	3
1009025002216	Back & Foot Rests	3
1009025002217	Calculators	3
1009025002218	Copy Holders	3
1009025002219	CPU Stands & Enclosures	3
1009025002220	Desk Organizers	3
1009025002221	Dust Covers	3
1009025002222	Keyboard Accessories	3
1009025002223	Mouse & Keyboard Pads & Rests	3
1009025002224	Travel Lights & Fans	3
1009169001274	Typewriters	3
1009169002139	Electronic Dictionaries	3
1009169002169	Copiers	3
1009169002170	Faxes	3
1009169002171	Laminators	3
1009169002172	Office Furniture	3
1009169002173	Paper & CD/DVD Shredders	3
1010173001240	Dot Matrix Supplies	3
1010173001241	Fax/Copier Supplies	3
1010173001242	Inkjet Printer Supplies	3
1010173001243	Laser Printer Supplies	3
1010173001244	Multifunction Printer Supplies	3
1010173001245	Plotter Supplies & Media	3
1010173001246	Thermal Printer Supplies	3
1010173001247	Solid Ink Printer Supplies	3
1010173002386	3D Printer Supplies	3
1010174001248	Calculator/Typewriters Supplies	3
1010174001249	CD Sleeves	3
1010174001250	Decals & Stickers	3
1010174001251	Filing Products	3
1010174001252	General Cleaning Supplies	3
1010174001253	General Purpose Batteries	3
1010174001254	ID Cards/Holders/Labels	3
1010174001255	Labels & Applicators	3
1010174001256	Laminating Supplies	3
1010174001257	Paper/Envelopes	3
1010174001258	Scanner Supplies	3
1010174001259	Transparencies/Films	3
1010174001260	Writing Supplies	3
1010174001261	Display Fixtures	3
1010174002043	Packaging Materials	3
1010174002044	Vendor Documentation	3
1010175001262	Audio/Visual Tapes	3
1010175001263	Cleaning Cartridges	3
1010175001264	Floppy Diskettes	3
1010175001265	Optical CD/DVD/Magneto Media	3
1010175001266	Removable Cartridge Media	3
1010175001267	Tape Media	3
1010175001268	Barcode Labels for Tape Cartridges	3
1011019002193	Keyboards	3
1011019002194	Keypads	3
1011019002195	Keyboard/Mouse Combos	3
1011020002196	Graphics Tablets/Stylus	3
1011020002197	Mice	3
1011020002198	Touchpads	3
1011020002199	Trackballs	3
1012176001269	Internet Support	3
1012176001270	Phone Support	3
1012177001271	Hardware Installation Services	3
1012177001272	Software Installation Services	3
1012178001273	Extended Warranties	3
1012178001274	Upgrade Warranties	3
1012178001275	Warranty Renewals	3
1012179001276	Remote Monitoring & Management	3
1012179001277	Print Monitoring & Management	3
1012179001278	Labor, Network Operations Management	3
1012179001279	Storage; Online Backup & Restore	3
1012179001280	Software As A Service	3
1012179001281	Security; Email & Web Defense	3
1012179002116	Data Center Virtualization	3
1012179002117	Enterprise Communications	3
1012179002118	Hardware As A Service	3
1012179002119	Hosted Email/Messaging	3
